androidx.heifwriter:heifwriter                         ,Xamarin.AndroidX.HeifWriter.HeifWriter
androidx.arch.core:core-common                         ,Xamarin.AndroidX.Arch.Core.Core.Common
com.google.android.material:material                   ,Xamarin.AndroidX.Meterial.Material
androidx.core:core                                     ,Xamarin.AndroidX.Core.Core
androidx.vectordrawable:vectordrawable-animated        ,Xamarin.AndroidX.VectorDrawable.Animated
androidx.recommendation:recommendation                 ,Xamarin.AndroidX.Recommendation.Recommendation
androidx.vectordrawable:vectordrawable                 ,Xamarin.AndroidX.VectorDrawable.VectorDrawable
androidx.arch.core:core-runtime                        ,Xamarin.AndroidX.Arch.Core.Runtime
androidx.slice:slice-view                              ,Xamarin.AndroidX.Slice.View
androidx.appcompat:appcompat                           ,Xamarin.AndroidX.Appcompat.Appcompat
androidx.lifecycle:lifecycle-livedata-core             ,Xamarin.AndroidX.Lifecycle.LiveDataCore
androidx.lifecycle:lifecycle-common                    ,Xamarin.AndroidX.Lifecycle.Common
androidx.cursoradapter:cursoradapter                   ,Xamarin.AndroidX.CursorAdapter.CursorAdapter
androidx.legacy:legacy-support-core-utils              ,Xamarin.AndroidX.Legacy.CoreUtils
androidx.emoji:emoji                                   ,Xamarin.AndroidX.Emoji.Emoji
androidx.documentfile:documentfile                     ,Xamarin.AndroidX.DocumentFile.DocumentFile
androidx.tvprovider:tvprovider                         ,Xamarin.AndroidX.TvProvider.TvProvider
androidx.legacy:legacy-support-v13                     ,Xamarin.AndroidX.Legacy.SupportV13
androidx.leanback:leanback-preference                  ,Xamarin.AndroidX.Leanback.Preference
androidx.versionedparcelable:versionedparcelable       ,Xamarin.AndroidX.VersionedParcelable.VersionedParcelable
androidx.annotation:annotation                         ,Xamarin.AndroidX.Annotation.Annotation
androidx.dynamicanimation:dynamicanimation             ,Xamarin.AndroidX.DynamicAnimation.DynamicAnimation
androidx.lifecycle:lifecycle-process                   ,Xamarin.AndroidX.Lifecycle.Process
androidx.mediarouter:mediarouter                       ,Xamarin.AndroidX.Mediarouter.Mediarouter
androidx.cardview:cardview                             ,Xamarin.AndroidX.CardView.CardView
androidx.constraintlayout:constraintlayout-solver      ,Xamarin.AndroidX.ConstraintLayout.Solver
androidx.recyclerview:recyclerview                     ,Xamarin.AndroidX.RecyclerView.RecyclerView
androidx.browser:browser                               ,Xamarin.AndroidX.Browser.Browser
androidx.localbroadcastmanager:localbroadcastmanager   ,Xamarin.AndroidX.LocalBroadcastManager.LocalBroadcastManager
androidx.loader:loader                                 ,Xamarin.AndroidX.Loader.Loader
androidx.slidingpanelayout:slidingpanelayout           ,Xamarin.AndroidX.SlidingPanelLayout.SlidingPanelLayout
androidx.leanback:leanback                             ,Xamarin.AndroidX.Leanback.Leanback
androidx.lifecycle:lifecycle-service                   ,Xamarin.AndroidX.Lifecycle.Service
androidx.lifecycle:lifecycle-livedata                  ,Xamarin.AndroidX.Lifecycle.LiveData
androidx.preference:preference                         ,Xamarin.AndroidX.Preference.Preference
androidx.palette:palette                               ,Xamarin.AndroidX.Pallete.Pallete
androidx.viewpager:viewpager                           ,Xamarin.AndroidX.ViewPager.ViewPager
androidx.contentpager:contentpager                     ,Xamarin.AndroidX.ContentPager.ContentPager
androidx.slice:slice-core                              ,Xamarin.AndroidX.Slice.Core
androidx.transition:transition                         ,Xamarin.AndroidX.Transition.Transition
androidx.swiperefreshlayout:swiperefreshlayout         ,Xamarin.AndroidX.SwipeRefreshLayout.SwipeRefreshLayout
androidx.lifecycle:lifecycle-viewmodel                 ,Xamarin.AndroidX.Lifecycle.ViewModel
androidx.fragment:fragment                             ,Xamarin.AndroidX.Fragment.Fragment
androidx.asynclayoutinflater:asynclayoutinflater       ,Xamarin.AndroidX.AsyncLayerInflater
androidx.lifecycle:lifecycle-extensions                ,Xamarin.AndroidX.Lifecycle.Extensions
androidx.gridlayout:gridlayout                         ,Xamarin.AndroidX.GridLayout.GridLayout
androidx.percentlayout:percentlayout                   ,Xamarin.AndroidX.PercentLayout.PercentLayout
androidx.customview:customview                         ,Xamarin.AndroidX.CustomView.CustomView
androidx.emoji:emoji-appcompat                         ,Xamarin.AndroidX.Emoji.AppCompat
androidx.wear:wear                                     ,Xamarin.AndroidX.Wear.Wear
androidx.collection:collection                         ,Xamarin.AndroidX.Collection.Collection
androidx.coordinatorlayout:coordinatorlayout           ,Xamarin.AndroidX.CoordinatorLayout.CoordinatorLayout
androidx.webkit:webkit                                 ,Xamarin.AndroidX.WebKit.WebKit
androidx.slice:slice-builders                          ,Xamarin.AndroidX.Slice.Builders
androidx.legacy:legacy-preference-v14                  ,Xamarin.AndroidX.Legacy.PreferenceV14
androidx.recyclerview:recyclerview-selection           ,Xamarin.AndroidX.RecyclerView.Selection
androidx.interpolator:interpolator                     ,Xamarin.AndroidX.Interpolator.Interpolator
androidx.legacy:legacy-support-core-ui                 ,Xamarin.AndroidX.Legacy.CoreUI
androidx.media:media                                   ,Xamarin.AndroidX.Media.Media
androidx.constraintlayout:constraintlayout             ,Xamarin.AndroidX.ConstraintLayout.ConstraintLayout
androidx.legacy:legacy-support-v4                      ,Xamarin.AndroidX.Legacy.SupportV4
androidx.exifinterface:exifinterface                   ,Xamarin.AndroidX.ExIfInterface.ExIfInterface
androidx.lifecycle:lifecycle-runtime                   ,Xamarin.AndroidX.Lifecycle.Runtime
androidx.emoji:emoji-bundled                           ,Xamarin.AndroidX.Emoji.Bundled
androidx.drawerlayout:drawerlayout                     ,Xamarin.AndroidX.DrawerLayout.DrawerLayout
androidx.print:print                                   ,Xamarin.AndroidX.Print.Print
